Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
RA,Fertilizers archive,7,Angola,5157,Consumption,1818,Total Fertilizers,1968,1968,tonnes,7600,*,Unofficial figure
RA,Fertilizers archive,7,Angola,5157,Consumption,1818,Total Fertilizers,1969,1969,tonnes,10500,*,Unofficial figure
RA,Fertilizers archive,7,Angola,5157,Consumption,1818,Total Fertilizers,1970,1970,tonnes,11300,*,Unofficial figure
RA,Fertilizers archive,7,Angola,5157,Consumption,1818,Total Fertilizers,1971,1971,tonnes,25000,*,Unofficial figure
RA,Fertilizers archive,7,Angola,5157,Consumption,1818,Total Fertilizers,1972,1972,tonnes,22300,*,Unofficial figure
RA,Fertilizers archive,7,Angola,5157,Consumption,1818,Total Fertilizers,1973,1973,tonnes,21400,,Official data
RA,Fertilizers archive,7,Angola,5157,Consumption,1818,Total Fertilizers,1974,1974,tonnes,15100,,Official data
RA,Fertilizers archive,7,Angola,5157,Consumption,1818,Total Fertilizers,1975,1975,tonnes,4100,*,Unofficial figure
RA,Fertilizers archive,7,Angola,5157,Consumption,1818,Total Fertilizers,1976,1976,tonnes,2100,*,Unofficial figure
RA,Fertilizers archive,7,Angola,5157,Consumption,1818,Total Fertilizers,1977,1977,tonnes,31600,*,Unofficial figure
RA,Fertilizers archive,7,Angola,5157,Consumption,1818,Total Fertilizers,1978,1978,tonnes,23500,*,Unofficial figure
RA,Fertilizers archive,7,Angola,5157,Consumption,1818,Total Fertilizers,1979,1979,tonnes,13700,*,Unofficial figure
RA,Fertilizers archive,7,Angola,5157,Consumption,1818,Total Fertilizers,1980,1980,tonnes,16800,*,Unofficial figure
RA,Fertilizers archive,7,Angola,5157,Consumption,1818,Total Fertilizers,1981,1981,tonnes,12100,*,Unofficial figure
RA,Fertilizers archive,7,Angola,5157,Consumption,1818,Total Fertilizers,1982,1982,tonnes,5000,*,Unofficial figure
RA,Fertilizers archive,7,Angola,5157,Consumption,1818,Total Fertilizers,1983,1983,tonnes,8600,*,Unofficial figure
RA,Fertilizers archive,7,Angola,5157,Consumption,1818,Total Fertilizers,1984,1984,tonnes,6991,,Official data
RA,Fertilizers archive,7,Angola,5157,Consumption,1818,Total Fertilizers,1985,1985,tonnes,20343,,Official data
RA,Fertilizers archive,7,Angola,5157,Consumption,1818,Total Fertilizers,1986,1986,tonnes,12000,*,Unofficial figure
RA,Fertilizers archive,7,Angola,5157,Consumption,1818,Total Fertilizers,1987,1987,tonnes,10300,*,Unofficial figure
RA,Fertilizers archive,7,Angola,5157,Consumption,1818,Total Fertilizers,1988,1988,tonnes,15909,,Official data
RA,Fertilizers archive,7,Angola,5157,Consumption,1818,Total Fertilizers,1989,1989,tonnes,23601,,Official data
RA,Fertilizers archive,7,Angola,5157,Consumption,1818,Total Fertilizers,1990,1990,tonnes,9500,*,Unofficial figure
RA,Fertilizers archive,7,Angola,5157,Consumption,1818,Total Fertilizers,1991,1991,tonnes,6900,*,Unofficial figure
RA,Fertilizers archive,7,Angola,5157,Consumption,1818,Total Fertilizers,1992,1992,tonnes,9100,*,Unofficial figure
RA,Fertilizers archive,7,Angola,5157,Consumption,1818,Total Fertilizers,1993,1993,tonnes,8000,*,Unofficial figure
RA,Fertilizers archive,7,Angola,5157,Consumption,1818,Total Fertilizers,1994,1994,tonnes,10000,*,Unofficial figure
RA,Fertilizers archive,7,Angola,5157,Consumption,1818,Total Fertilizers,1995,1995,tonnes,8000,*,Unofficial figure
RA,Fertilizers archive,7,Angola,5157,Consumption,1818,Total Fertilizers,1996,1996,tonnes,6000,*,Unofficial figure
RA,Fertilizers archive,7,Angola,5157,Consumption,1818,Total Fertilizers,1997,1997,tonnes,2000,,Official data
RA,Fertilizers archive,7,Angola,5157,Consumption,1818,Total Fertilizers,1998,1998,tonnes,3400,,Official data
RA,Fertilizers archive,7,Angola,5157,Consumption,1818,Total Fertilizers,1999,1999,tonnes,3400,,Official data
RA,Fertilizers archive,7,Angola,5157,Consumption,1818,Total Fertilizers,2000,2000,tonnes,1400,,Official data
RA,Fertilizers archive,7,Angola,5157,Consumption,1818,Total Fertilizers,2001,2001,tonnes,0,,Official data
RA,Fertilizers archive,7,Angola,5157,Consumption,1818,Total Fertilizers,2002,2002,tonnes,0,,Official data
RA,Fertilizers archive,9,Argentina,5157,Consumption,1818,Total Fertilizers,1961,1961,tonnes,16241,,Official data
RA,Fertilizers archive,9,Argentina,5157,Consumption,1818,Total Fertilizers,1962,1962,tonnes,12711,,Official data
RA,Fertilizers archive,9,Argentina,5157,Consumption,1818,Total Fertilizers,1963,1963,tonnes,21080,,Official data
RA,Fertilizers archive,9,Argentina,5157,Consumption,1818,Total Fertilizers,1964,1964,tonnes,29500,,Official data
RA,Fertilizers archive,9,Argentina,5157,Consumption,1818,Total Fertilizers,1965,1965,tonnes,40500,,Official data
RA,Fertilizers archive,9,Argentina,5157,Consumption,1818,Total Fertilizers,1966,1966,tonnes,52568,,Official data
RA,Fertilizers archive,9,Argentina,5157,Consumption,1818,Total Fertilizers,1967,1967,tonnes,68460,,Official data
RA,Fertilizers archive,9,Argentina,5157,Consumption,1818,Total Fertilizers,1968,1968,tonnes,67666,,Official data
RA,Fertilizers archive,9,Argentina,5157,Consumption,1818,Total Fertilizers,1969,1969,tonnes,79554,,Official data
RA,Fertilizers archive,9,Argentina,5157,Consumption,1818,Total Fertilizers,1970,1970,tonnes,87036,,Official data
RA,Fertilizers archive,9,Argentina,5157,Consumption,1818,Total Fertilizers,1971,1971,tonnes,77100,*,Unofficial figure
RA,Fertilizers archive,9,Argentina,5157,Consumption,1818,Total Fertilizers,1972,1972,tonnes,86200,*,Unofficial figure
RA,Fertilizers archive,9,Argentina,5157,Consumption,1818,Total Fertilizers,1973,1973,tonnes,83243,,Official data
RA,Fertilizers archive,9,Argentina,5157,Consumption,1818,Total Fertilizers,1974,1974,tonnes,75100,*,Unofficial figure
